e,n,d
57.863424351764145,57.863443261239006,2180
58.0362462672506,58.03626523320278,2181
58.20933735178506,58.209356374302544,2182
58.382697676377155,58.38271675554792,2183
58.55632731217187,58.556346448083914,2184
58.73022633044987,58.730245523191236,2185
58.904394802628175,58.904414052286924,2186
59.07883280025951,59.07885210692371,2187
59.253540395031635,59.25355975878939,2188
59.42851765877026,59.428537079709706,2189
59.6037646634368,59.60378414164609,2190
59.779281481128685,59.77930101669598,2191
59.955068184081284,59.95508777709479,2192
60.131124844666,60.13114449521393,2193
60.30745153539184,60.307471243562446,2194
60.48404832890481,60.48406809478636,2195
60.66091529798758,60.66093512166835,2196
60.83805251556267,60.83807239713099,2197
61.01546005468704,61.01547999423125,2198
61.193137988558156,61.19315798616662,2199
61.37108639051079,61.37110644627189,2200
61.549305334017006,61.54932544801916,2201
61.7277948926891,61.727815065020735,2202
61.9065551402763,61.90657537102589,2203
62.08558615066679,62.085606439922806,2204
62.26488799788894,62.26490834573989,2205
62.444460756108086,62.444481162642504,2206
62.62430449963042,62.62432496493687,2207
62.80441930290039,62.804439827067455,2208
62.98480524050299,62.98482582361927,2209
63.16546238716243,63.16548302931654,2210
63.34639081774246,63.34641151902307,2211
63.52759060724737,63.527611367743155,2212
63.70906183082132,63.709082650620985,2213
63.89080456374931,63.89082544294159,2214
64.07281888145623,64.07283982012987,2215
64.25510485950875,64.25512585775252,2216
64.4376625736128,64.43768363151551,2217
64.6204920996164,64.62051321726688,2218
64.80359351350911,64.8036146909962,2219
64.98696689142128,64.98698812883387,2220
65.17061230962508,65.17063360705207,2221
65.35452984453387,65.35455120206417,2222
65.53871957270438,65.53874099042696,2223
65.72318157083325,65.72320304883708,2224
65.9079159157602,65.90793745413427,2225
66.09292268446963,66.09294428330298,2226
66.27820195408522,66.2782236134669,2227
66.46375380187594,66.46377552189504,2228
66.64957830525101,66.64960008599661,2229
66.83567554176558,66.83569738332682,2230
67.02204558911635,67.02206749158238,2231
67.20868852514464,67.20871048860464,2232
67.39560442783429,67.39562645237746,2233
67.58279337531476,67.58281546103034,2234
67.77025544585638,67.77027759283362,2235
67.95799071787707,67.95801292620523,2236
68.14599926993684,68.14602153970526,2237
68.33428118074173,68.33430351203972,2238
68.52283652914119,68.5228589220581,2239
68.71166539413126,68.7116878487565,2240
68.90076785485047,68.90079037127344,2241
69.09014399058492,69.09016656889507,2242
69.2797938807664,69.27981652105318,2243
69.46971760496977,69.46974030732265,2244
69.65991524291812,69.65993800742663,2245
69.85038687447958,69.85040970123326,2246
70.0411325796686,70.04115546875701,2247
70.23215243864556,70.2321753901583,2248
70.42344653171882,70.4234695457455,2249
70.61501493934108,70.61503801597135,2250
70.80685774211426,70.80688088143778,2251
70.99897502078623,70.99899822289272,2252
71.19136685625189,71.19139012123105,2253
71.38403332955427,71.38405665749586,2254
71.57697452188408,71.57699791287789,2255
71.77019051457958,71.7702139687154,2256
71.96368138912729,71.96370490649494,2257
72.15744722716099,72.15747080785033,2258
72.35148811046429,72.35151175456522,2259
